epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.621,0.76994,2.10991,1.35282,0.31784,0.46928,0.27208,0.17595,1.18337,3.76506,2.02393,0.00040625,0.00040625,0.00040625
2,810.303,0.87348,1.39227,1.41205,0.3047,0.50631,0.30903,0.16444,1.49226,3.16952,2.85591,0.000817485,0.000817485,0.000817485
3,1216.84,0.92201,1.41773,1.42235,0.0259,0.29588,0.0147,0.00372,3.44042,125.052,5.88647,0.00122322,0.00122322,0.00122322
4,1624.76,0.93988,1.46566,1.44172,0.09228,0.17395,0.06911,0.02783,2.47933,1602.86,4.96175,0.00122525,0.00122525,0.00122525
5,2032.23,0.9221,1.37819,1.42609,0.25809,0.62679,0.32897,0.20056,1.20387,6.94721,2.01035,0.001217,0.001217,0.001217
6,2436.45,0.85643,1.33211,1.37804,0.54135,0.32198,0.25344,0.12022,1.55734,2.71984,2.28948,0.00120875,0.00120875,0.00120875
7,2840.34,0.82557,1.27064,1.35904,0.39128,0.49397,0.36917,0.2432,1.22892,2.23408,1.87409,0.0012005,0.0012005,0.0012005
8,3246.44,0.79168,1.20274,1.33141,0.5688,0.64307,0.63605,0.48177,0.87702,1.33544,1.47085,0.00119225,0.00119225,0.00119225
9,3650.48,0.79165,1.18552,1.32994,0.65059,0.66155,0.70118,0.5428,0.77024,1.17535,1.40353,0.001184,0.001184,0.001184
10,4050.46,0.76875,1.1133,1.30641,0.43103,0.55375,0.49781,0.34902,0.8721,2.55387,1.49349,0.00117575,0.00117575,0.00117575
11,4452,0.75167,1.17527,1.29947,0.65591,0.73158,0.75736,0.59116,0.83065,1.0544,1.3794,0.0011675,0.0011675,0.0011675
12,4855.06,0.74124,1.05622,1.30057,0.64091,0.74449,0.77297,0.62008,0.74482,1.09956,1.36927,0.00115925,0.00115925,0.00115925
13,5266.31,0.74283,1.04268,1.29271,0.49716,0.52558,0.47574,0.32655,1.00377,1.71257,1.55226,0.001151,0.001151,0.001151
14,5677.99,0.7287,1.05014,1.29158,0.61918,0.69946,0.72871,0.56572,0.76581,1.1461,1.33521,0.00114275,0.00114275,0.00114275
15,6092.76,0.71243,1.01325,1.27394,0.68502,0.69757,0.76868,0.59861,0.81725,1.07888,1.33898,0.0011345,0.0011345,0.0011345
16,6481.32,0.69723,0.97937,1.24979,0.67739,0.70605,0.75316,0.58281,0.71983,1.1112,1.2981,0.00112625,0.00112625,0.00112625
17,6864.92,0.66583,0.96425,1.24379,0.59801,0.71632,0.72527,0.57469,0.7463,1.3035,1.30343,0.001118,0.001118,0.001118
18,7254.42,0.66245,0.93799,1.23043,0.48946,0.66727,0.63344,0.41273,1.15079,1.37011,1.9103,0.00110975,0.00110975,0.00110975
19,7645.07,0.64839,0.90812,1.22188,0.58804,0.81887,0.78069,0.60909,0.77801,1.03317,1.38679,0.0011015,0.0011015,0.0011015
20,8029.9,0.65986,0.92856,1.23185,0.72185,0.7711,0.8247,0.60841,0.93237,0.97269,1.46747,0.00109325,0.00109325,0.00109325
21,8418,0.63083,0.87853,1.20969,0.55053,0.62533,0.62861,0.50221,0.71283,1.52892,1.31513,0.001085,0.001085,0.001085
22,8810.42,0.63229,0.89427,1.21482,0.68888,0.79416,0.82012,0.66576,0.68822,0.97865,1.26128,0.00107675,0.00107675,0.00107675
23,9210.59,0.65309,0.92202,1.23021,0.59988,0.66001,0.65463,0.45769,1.12973,1.30279,2.12526,0.0010685,0.0010685,0.0010685
24,9597.77,0.62304,0.85928,1.20849,0.59278,0.81012,0.78478,0.66206,0.67259,1.26249,1.22246,0.00106025,0.00106025,0.00106025
25,9984.26,0.65219,0.84301,1.23444,0.72736,0.73,0.83509,0.70432,0.65382,1.00683,1.20717,0.001052,0.001052,0.001052
26,10394.8,0.63425,0.85887,1.22049,0.73672,0.7378,0.81836,0.67382,0.66661,0.93875,1.25817,0.00104375,0.00104375,0.00104375
27,10784.4,0.61174,0.86076,1.19874,0.75971,0.73821,0.8232,0.69065,0.59521,0.88597,1.15577,0.0010355,0.0010355,0.0010355
28,11172.3,0.60798,0.81507,1.20069,0.57492,0.33498,0.38433,0.19153,2.02842,2.17611,3.47836,0.00102725,0.00102725,0.00102725
29,11560.3,0.61212,0.81861,1.2164,0.72317,0.73487,0.78406,0.64539,0.68805,0.95669,1.24559,0.001019,0.001019,0.001019
30,11958.9,0.59186,0.78421,1.17216,0.63254,0.73701,0.7491,0.51456,1.09687,1.17836,1.79971,0.00101075,0.00101075,0.00101075
31,12368.6,0.60561,0.80403,1.18789,0.7398,0.7839,0.83934,0.70316,0.59097,0.85043,1.16596,0.0010025,0.0010025,0.0010025
32,12779.6,0.59739,0.80032,1.18404,0.70689,0.79219,0.82778,0.7039,0.59818,0.91513,1.16863,0.00099425,0.00099425,0.00099425
33,13191.1,0.63459,0.8461,1.22829,0.73546,0.82339,0.84205,0.71608,0.61431,0.89194,1.14216,0.000986,0.000986,0.000986
34,13600.5,0.61449,0.77742,1.20086,0.75859,0.76628,0.83136,0.70484,0.56422,0.85151,1.15858,0.00097775,0.00097775,0.00097775
35,14010.6,0.57636,0.74628,1.18238,0.80833,0.74868,0.867,0.74441,0.57403,0.76975,1.15178,0.0009695,0.0009695,0.0009695
